Feature,Coefficient
scaled_model_RMSD,0.3094386718473065
chain_pair_iptm_AL,0.21360055231067723
iptm_L,0.1912757275262727
chain_plddt_A,0.1824062410408056
iptm_A,0.1636637348032652
pdockq,0.1598560386917543
chain_pair_pae_min_AL,-0.13516879773284177
chain_pair_iptm_AH,0.11332365199253118
iptm_H,0.09751615943210273
chain_pair_pae_min_AH,-0.08648412462106772
avg_model_plddt,0.079314334379232
mpdockq_HL,0.07472570332771548
model_avg_RMSD,-0.06568778026940758
interface_pae_AL,-0.056970889198900865
interface_pae_AH,-0.037145325209025214
avg_interface_pae,-0.03585558984539129
fraction_disordered,-0.019697258066281725
pdockq_HL,0.000709961415322009
mpdockq,0.0
mpdockq_AL,0.0
mpdockq_AH,0.0
pdockq2,0.0
pTM,0.0
pdockq_AL,0.0
pdockq_AH,0.0
pdockq2_AH,0.0
pdockq2_AL,0.0
pdockq2_HL,0.0
ranking_confidence,0.0
has_clash,0.0
ipTM,0.0
total_contacts,0.0
interface_pae_HL,0.0
interface_plddt_HL,0.0
contacts_HL,0.0
interface_plddt_AL,0.0
contacts_AL,0.0
contacts_AH,0.0
interface_plddt_AH,0.0
LIS_AL,0.0
LIS_AH,0.0
avg_LIS,0.0
LIS_HL,0.0
ptm_L,0.0
scaled_RMSD_ratio,0.0
avg_interface_plddt,0.0
query_avg_RMSD,0.0
chain_pair_iptm_HL,0.0
ptm_A,0.0
ptm_H,0.0
chain_pair_pae_min_HL,0.0
chain_plddt_H,0.0
chain_pair_pae_AH,0.0
chain_plddt_L,0.0
chain_pae_A,0.0
chain_pae_L,0.0
chain_pae_H,0.0
avg_pair_pae,0.0
chain_pair_pae_AL,0.0
chain_pair_pae_HL,0.0
avg_internal_pae,0.0
del_G_B,0.0
scaled_query_RMSD,0.0
