feature,importance
fraction_disordered,5.824258804321289
ipTM,5.090176582336426
pTM,4.865962028503418
ranking_confidence,2.2186176776885986
pdockq_AH,2.8572356700897217
pdockq_AL,3.201549768447876
pdockq_HL,18.73767852783203
pdockq,5.858718395233154
pdockq2_AH,3.8048601150512695
pdockq2_AL,6.0689921379089355
pdockq2_HL,0.2690238654613495
pdockq2,6.082076072692871
LIS_AH,0.6161531805992126
LIS_AL,8.67957592010498
LIS_HL,4.204521656036377
avg_LIS,3.5240907669067383
contacts_AH,2.22013258934021
interface_plddt_AH,17.886882781982422
interface_pae_AH,0.4599483013153076
contacts_AL,1.2523043155670166
interface_plddt_AL,9.454754829406738
interface_pae_AL,1.7495331764221191
contacts_HL,3.1448934078216553
interface_plddt_HL,8.017616271972656
interface_pae_HL,3.665894031524658
total_contacts,5.812087059020996
avg_interface_plddt,23.242481231689453
avg_interface_pae,6.541172504425049
model_avg_RMSD,13.900688171386719
query_avg_RMSD,158.61776733398438
model_rmsd_scale,13.08498764038086
iptm_A,49.093448638916016
iptm_H,109.50961303710938
iptm_L,4.5436506271362305
ptm_A,1.8621230125427246
chain_pair_iptm_AH,27.260061264038086
chain_pair_iptm_AL,234.94029235839844
chain_pair_iptm_HL,4.432634353637695
chain_pair_pae_min_AH,2.845874786376953
chain_pair_pae_min_AL,3.6714963912963867
chain_pair_pae_min_HL,1.0120383501052856
chain_plddt_L,6.9167375564575195
chain_plddt_A,2.0915353298187256
chain_pae_A,5.261754989624023
chain_plddt_H,3.1417222023010254
chain_pair_pae_AH,1.3614081144332886
chain_pae_H,2.260915517807007
chain_pae_L,1.5782471895217896
chain_pair_pae_AL,1.6504112482070923
avg_pair_pae,1.4169847965240479
avg_model_plddt,11.830622673034668
chain_pair_pae_HL,2.6756763458251953
avg_internal_pae,4.694020748138428
del_G_B,3.1705894470214844
