,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std
rf,0.8874795761955295,0.013020701736655038,0.8305342411222907,0.07060644328835569,0.8131347857690117,0.08836414356717681,0.8140357575656967,0.01064592705722206,0.9378139793029054,0.010652688649843978,0.9040268114573151,0.005409422740307701,0.7415932971667352,0.01970576157000875
xgb,0.8696550693146023,0.007509432849899744,0.8150019486185502,0.1363722585696105,0.7894328428579848,0.10135944836257194,0.7844753360281311,0.014104965657760704,0.94170356694005,0.0004421770705229644,0.9043864272669074,0.015045471078228068,0.7100081935646093,0.022836831971469795
lgb,0.8601285225798845,0.018137180588542468,0.842378138305682,0.11935655557186908,0.7186331519425836,0.14218055255420436,0.7533825269284469,0.032541226737242246,0.9227646571762713,0.017855298968310063,0.8832969423943435,0.0019475528724217095,0.6832772819565454,0.023706294454428123
